attack,mode,epsilon,asr_modelo_ajustado,asr_modelo_original
FGSM,dodge,0.01,0.4,0.3
FGSM,dodge,0.02,0.725,0.55
FGSM,dodge,0.04,0.925,0.8
FGSM,dodge,0.08,1.0,0.9
FGSM,dodge,0.12,0.975,0.95
FGSM,impersonate,0.01,0.39473684210526316,0.3513513513513513
FGSM,impersonate,0.02,0.5789473684210527,0.7297297297297297
FGSM,impersonate,0.04,0.6842105263157895,0.8918918918918919
FGSM,impersonate,0.08,0.6578947368421053,0.8648648648648649
FGSM,impersonate,0.12,0.5789473684210527,0.6756756756756757
PGD,dodge,0.01,0.7,0.55
PGD,dodge,0.02,1.0,1.0
PGD,dodge,0.04,1.0,1.0
PGD,dodge,0.08,1.0,1.0
PGD,dodge,0.12,1.0,1.0
PGD,impersonate,0.01,0.7105263157894737,0.7297297297297297
PGD,impersonate,0.02,0.9736842105263158,0.972972972972973
PGD,impersonate,0.04,1.0,1.0
PGD,impersonate,0.08,1.0,1.0
PGD,impersonate,0.12,1.0,1.0
