attack,mode,epsilon,asr_con_defensa,asr_sin_defensa
FGSM,dodge,0.01,0.1,0.3
FGSM,dodge,0.02,0.325,0.55
FGSM,dodge,0.04,0.65,0.8
FGSM,dodge,0.08,0.85,0.9
FGSM,dodge,0.12,0.9,0.95
FGSM,impersonate,0.01,0.13513513513513514,0.3513513513513513
FGSM,impersonate,0.02,0.43243243243243246,0.7297297297297297
FGSM,impersonate,0.04,0.7567567567567568,0.8918918918918919
FGSM,impersonate,0.08,0.918918918918919,0.8648648648648649
FGSM,impersonate,0.12,0.7567567567567568,0.6756756756756757
PGD,dodge,0.01,0.15,0.55
PGD,dodge,0.02,0.55,1.0
PGD,dodge,0.04,1.0,1.0
PGD,dodge,0.08,1.0,1.0
PGD,dodge,0.12,1.0,1.0
PGD,impersonate,0.01,0.1891891891891892,0.7297297297297297
PGD,impersonate,0.02,0.6756756756756757,0.972972972972973
PGD,impersonate,0.04,0.9459459459459459,1.0
PGD,impersonate,0.08,1.0,1.0
PGD,impersonate,0.12,1.0,1.0
