attack,mode,epsilon,asr_con_defensa,asr_sin_defensa
FGSM,dodge,0.01,0.375,0.45
FGSM,dodge,0.02,0.375,0.5
FGSM,dodge,0.04,0.25,0.475
FGSM,dodge,0.08,0.625,0.6
FGSM,dodge,0.12,0.875,0.775
FGSM,impersonate,0.01,0.375,0.6153846153846154
FGSM,impersonate,0.02,0.125,0.5128205128205128
FGSM,impersonate,0.04,0.125,0.2307692307692307
FGSM,impersonate,0.08,0.0,0.1282051282051282
FGSM,impersonate,0.12,0.0,0.0769230769230769
PGD,dodge,0.01,1.0,1.0
PGD,dodge,0.02,1.0,1.0
PGD,dodge,0.04,1.0,1.0
PGD,dodge,0.08,1.0,1.0
PGD,dodge,0.12,1.0,1.0
PGD,impersonate,0.01,1.0,1.0
PGD,impersonate,0.02,1.0,1.0
PGD,impersonate,0.04,1.0,1.0
PGD,impersonate,0.08,1.0,1.0
PGD,impersonate,0.12,1.0,1.0
