attack,mode,epsilon,asr,adversarial_accuracy,mean_score_before,mean_score_after,mean_linf_perturbation,n_samples
FGSM,dodge,0.01,0.3,0.7,0.7832003012299538,0.5061945434659719,0.01000000536441803,40
FGSM,dodge,0.02,0.55,0.45,0.7832003012299538,0.35702202839311215,0.02000001072883606,40
FGSM,dodge,0.04,0.8,0.2,0.7832003012299538,0.22881575094070286,0.04000002145767212,40
FGSM,dodge,0.08,0.9,0.1,0.7832003012299538,0.15509992043953388,0.07999999821186066,40
FGSM,dodge,0.12,0.95,0.05,0.7832003012299538,0.1283982660388574,0.12000000476837158,40
FGSM,impersonate,0.01,0.35135135135135137,0.631578947368421,0.03959505470763696,0.38123842907187183,0.01000000536441803,38
FGSM,impersonate,0.02,0.7297297297297297,0.2631578947368421,0.03959505470763696,0.4993377808285387,0.02000001072883606,38
FGSM,impersonate,0.04,0.8918918918918919,0.10526315789473684,0.03959505470763696,0.5660263009761509,0.04000002145767212,38
FGSM,impersonate,0.08,0.8648648648648649,0.13157894736842105,0.03959505470763696,0.5609564318468696,0.07999999821186066,38
FGSM,impersonate,0.12,0.6756756756756757,0.3157894736842105,0.03959505470763696,0.5072909894301311,0.12000000476837158,38
PGD,dodge,0.01,0.55,0.45,0.7832003012299538,0.3622029804624617,0.01000000536441803,40
PGD,dodge,0.02,1.0,0.0,0.7832003012299538,-0.07461293060332537,0.02000001072883606,40
PGD,dodge,0.04,1.0,0.0,0.7832003012299538,-0.5852513981983065,0.04000002145767212,40
PGD,dodge,0.08,1.0,0.0,0.7832003012299538,-0.7887324146926403,0.07999999821186066,40
PGD,dodge,0.12,1.0,0.0,0.7832003012299538,-0.8132326677441597,0.12000000476837158,40
PGD,impersonate,0.01,0.7297297297297297,0.2631578947368421,0.03959505470763696,0.5141956772851316,0.01000000536441803,38
PGD,impersonate,0.02,0.972972972972973,0.02631578947368421,0.03959505470763696,0.7583466289859069,0.02000001072883606,38
PGD,impersonate,0.04,1.0,0.0,0.03959505470763696,0.8784252326739462,0.04000002145767212,38
PGD,impersonate,0.08,1.0,0.0,0.03959505470763696,0.893770810804869,0.07999999821186066,38
PGD,impersonate,0.12,1.0,0.0,0.03959505470763696,0.8933686629721993,0.12000000476837158,38
