attack,mode,epsilon,asr,adversarial_accuracy,mean_score_before,mean_score_after,mean_linf_perturbation,n_samples
FGSM,dodge,0.01,0.45,0.55,0.7081198871135712,0.3128482029773295,0.01000000536441803,40
FGSM,dodge,0.02,0.5,0.5,0.7081198871135712,0.304179344791919,0.020000010449439286,40
FGSM,dodge,0.04,0.475,0.525,0.7081198871135712,0.2934593899641186,0.040000011958181855,40
FGSM,dodge,0.08,0.6,0.4,0.7081198871135712,0.257953623123467,0.07999999821186066,40
FGSM,dodge,0.12,0.775,0.225,0.7081198871135712,0.21217246111482382,0.12000000476837158,40
FGSM,impersonate,0.01,0.6153846153846154,0.375,0.09208175069652498,0.33709344174712896,0.01000000536441803,40
FGSM,impersonate,0.02,0.5128205128205128,0.475,0.09208175069652498,0.28171451506204903,0.02000001072883606,40
FGSM,impersonate,0.04,0.23076923076923078,0.75,0.09208175069652498,0.215358221065253,0.04000001307576895,40
FGSM,impersonate,0.08,0.1282051282051282,0.85,0.09208175069652498,0.16209172648377718,0.07999999821186066,40
FGSM,impersonate,0.12,0.07692307692307693,0.925,0.09208175069652498,0.13282145140692592,0.12000000476837158,40
PGD,dodge,0.01,1.0,0.0,0.7081198871135712,-0.6585412703454494,0.01000000536441803,40
PGD,dodge,0.02,1.0,0.0,0.7081198871135712,-0.6893082365393639,0.020000010449439286,40
PGD,dodge,0.04,1.0,0.0,0.7081198871135712,-0.7079227551817894,0.04000000916421413,40
PGD,dodge,0.08,1.0,0.0,0.7081198871135712,-0.6842775948345661,0.07999999821186066,40
PGD,dodge,0.12,1.0,0.0,0.7081198871135712,-0.6684139430522918,0.12000000476837158,40
PGD,impersonate,0.01,1.0,0.0,0.09208175069652498,0.7806939288973809,0.01000000536441803,40
PGD,impersonate,0.02,1.0,0.0,0.09208175069652498,0.7776424542069436,0.02000001072883606,40
PGD,impersonate,0.04,1.0,0.0,0.09208175069652498,0.7672857567667961,0.040000011958181855,40
PGD,impersonate,0.08,1.0,0.0,0.09208175069652498,0.7301630660891533,0.07999999821186066,40
PGD,impersonate,0.12,1.0,0.0,0.09208175069652498,0.7140423268079757,0.12000000476837158,40
